Timestep,L_ASIS,L_Ankle_Lat,L_Heel,L_Knee_Lat,L_PSIS,L_Shank_Front,L_Shank_Rear,L_Shank_Upper,L_Thigh_Front,L_Thigh_Rear,L_Thigh_Upper,L_Toe_Lat,L_Toe_Med,L_Toe_Tip,R_ASIS,R_Ankle_Lat,R_Heel,R_Knee_Lat,R_PSIS,R_Shank_Front,R_Shank_Rear,R_Shank_Upper,R_Thigh_Front,R_Thigh_Rear,R_Thigh_Upper,R_Toe_Lat,R_Toe_Med,R_Toe_Tip
643,0.00560897,0.00496361,0.00555552,0.00731891,0.00932823,0.00972483,0.00675844,0.0108881,0.00568789,0.00558069,0.0058109,0.00543337,0.00472957,0.00515265,0.00527301,0.0035718,0.00107216,0.00165138,0.0101487,0.00211374,0.00257772,0.00224331,0.00402336,0.0034839,0.00435621,0.00328237,0.00271704,0.000992662
644,0.00569517,0.00501604,0.00548906,0.00731074,0.00953077,0.0105875,0.00682291,0.0111041,0.00544679,0.0056424,0.0054552,0.00540255,0.00460906,0.00521207,0.00520605,0.00363783,0.00115006,0.00161907,0.00962654,0.00210561,0.00259456,0.00229149,0.0039569,0.0034938,0.00435987,0.00322987,0.00253584,0.00106477
645,0.00574877,0.00508832,0.00553455,0.00725704,0.00952733,0.0112781,0.00684836,0.0110899,0.00520564,0.00576349,0.00521504,0.00538625,0.00457258,0.00512137,0.00510347,0.00369379,0.00116062,0.00160748,0.0091387,0.00205125,0.00257426,0.00225412,0.00389491,0.00348782,0.00433879,0.00312081,0.00230605,0.00111773
646,0.00573651,0.00522062,0.00563787,0.00710009,0.0094245,0.0113145,0.00673613,0.0108746,0.00509392,0.0057426,0.005175,0.00532563,0.00462818,0.00498193,0.00502453,0.00376621,0.0011529,0.00157386,0.00866136,0.00204168,0.00251289,0.0020657,0.00383792,0.00347493,0.00431638,0.00273378,0.00142357,0.0013103
647,0.00583658,0.00540262,0.00568581,0.0069631,0.0094573,0.0111579,0.00657769,0.0107159,0.00503092,0.00563936,0.00522739,0.00530463,0.00458884,0.00513477,0.00496886,0.0037488,0.00118731,0.0015995,0.00819861,0.00204194,0.00249946,0.00191405,0.00380458,0.00347427,0.00430999,0.00277638,0.00129176,0.00140412
648,0.00609015,0.0052716,0.00574424,0.00713,0.00972732,0.0111891,0.00649319,0.0107815,0.00492888,0.00552283,0.0051717,0.00555201,0.00462357,0.00509915,0.00500555,0.00376638,0.00123096,0.00168435,0.00770642,0.00201952,0.00250071,0.00188158,0.00380651,0.00349515,0.00437776,0.00316023,0.00160253,0.00157329
649,0.00613345,0.0052403,0.00565411,0.00733034,0.00997492,0.0109162,0.00664709,0.0108389,0.00487113,0.00552077,0.00507872,0.00564493,0.00463761,0.00506474,0.00492765,0.00375913,0.00124125,0.00171116,0.00727558,0.00191668,0.00249421,0.00194672,0.00379496,0.00351528,0.00443533,0.00329181,0.00163335,0.00167157
650,0.00621175,0.00538856,0.00546279,0.00735695,0.00906994,0.0105175,0.0069465,0.0108288,0.00512058,0.00587224,0.00523156,0.00551145,0.00463231,0.00519683,0.00455755,0.00363739,0.00124879,0.00169942,0.00690932,0.00191879,0.00247107,0.00193927,0.00370087,0.00340201,0.00428224,0.00329304,0.00185862,0.0015807
651,0.00625464,0.00538424,0.00504155,0.00717419,0.00687415,0.0105119,0.00728663,0.0110141,0.00567495,0.00653422,0.0056979,0.00499396,0.00459059,0.00528998,0.00359296,0.0034672,0.00143948,0.00170057,0.00683075,0.00205999,0.00247258,0.00183971,0.00357671,0.00315463,0.00396108,0.00328415,0.00282304,0.00117886
652,0.00632535,0.00538253,0.00495122,0.00692748,0.00618432,0.0104323,0.00754393,0.0109699,0.00597043,0.00691645,0.00598671,0.00486786,0.00461137,0.00527448,0.00321743,0.00329529,0.00178018,0.00175025,0.00653623,0.00219444,0.00256518,0.00187002,0.003436,0.00304616,0.00380895,0.00378955,0.0050282,0.0010338
