Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_HJC,L_HJC_reg,L_Shoulder,L_Sternum,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_HJC,R_HJC_reg,R_Shoulder,R_Sternum,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe,
116,0.0191494,0.008759,0.00921513,0.00673899,0.0115089,0,0.00804087,0.00709602,0.00734709,0.00387887,0.00867539,0.0039541,0,0,0.0137231,0.0193331,0.0185715,0.00366477,0.0232005,0.0203516,0.0201612,0.0179271,0.0081941,0.00405802,0.00495319,0.012626,0,0.018068,0.00789818,0.00950241,0.0096329,0,0,0.0071891,0.011887,0.00468839,0.00785638,0.00536636,0.00807266,0.00567957,0.0195681,0.0103175,0.0259914,0.0241122,0.00835613,0.025594,0.0144168,0.0160211,0.0282876,0,0.00888284,0
117,0.0189096,0.00847727,0.00919773,0.00658125,0.0118194,0,0.00819002,0.00719051,0.00774903,0.00421139,0.00830991,0.00328982,0,0,0.012937,0.0191412,0.0193014,0.00438423,0.0235537,0.0204581,0.0205359,0.0181038,0.00811077,0.00404479,0.004916,0.0120481,0,0.0180994,0.00797683,0.00951475,0.00980665,0,0,0.00711651,0.0118352,0.00442904,0.00772064,0.00621559,0.00779088,0.00442481,0.0189764,0.0113699,0.0256719,0.0242042,0.00865614,0.0244877,0.0136216,0.0145418,0.0266517,0,0.0092248,0
118,0.0187372,0.00821419,0.00917462,0.00641058,0.0121505,0,0.00841163,0.00723965,0.00816672,0.00462288,0.0079567,0.00262465,0,0,0.0122445,0.0189684,0.0199447,0.00541715,0.0238696,0.0206054,0.0208708,0.0182307,0.00803219,0.00403735,0.00488698,0.0115584,0,0.0181358,0.00797611,0.00953706,0.00999495,0,0,0.00705384,0.0118063,0.00422527,0.00765138,0.00689177,0.00764574,0.00355096,0.0184331,0.0124002,0.0256493,0.0246924,0.00907585,0.0236704,0.0128864,0.0131685,0.0253888,0,0.00948716,0
119,0.0186382,0.00799998,0.00909536,0.00617921,0.0124683,0,0.00865455,0.00722275,0.00852968,0.00507886,0.00763562,0.00201692,0,0,0.0117435,0.0188945,0.0204484,0.0064277,0.0240849,0.0207464,0.0210774,0.0182777,0.00795996,0.00404496,0.00485656,0.0112498,0,0.0181686,0.00787969,0.00955768,0.0101443,0,0,0.00702666,0.0118056,0.00405521,0.00763233,0.00740736,0.00770538,0.00307184,0.0177978,0.0134398,0.0259063,0.0255827,0.00965242,0.0234377,0.0124133,0.01207,0.024844,0,0.00971586,0
120,0.0185955,0.00777566,0.00890645,0.0060129,0.0127741,0,0.008863,0.00713676,0.00889509,0.00552822,0.00735573,0.00152059,0,0,0.0112431,0.0189066,0.0208846,0.00750107,0.0242648,0.0208381,0.0212322,0.01825,0.00796205,0.004079,0.00481953,0.0110727,0,0.0181746,0.00770278,0.00956258,0.0102029,0,0,0.00703717,0.0118442,0.00385786,0.00763021,0.00765783,0.00779762,0.00282843,0.0171576,0.0142398,0.0263116,0.0265844,0.0101947,0.0235193,0.0121241,0.0113056,0.0247322,0,0.00983423,0
121,0.0185725,0.00749261,0.00857683,0.00592798,0.0130536,0,0.00898421,0.0069851,0.00923119,0.00589935,0.00709294,0.00115881,0,0,0.0106561,0.0189336,0.0212294,0.00855406,0.0243724,0.0208506,0.0213235,0.0181351,0.00803956,0.00414092,0.00477915,0.0109363,0,0.0181592,0.00745691,0.00954044,0.0101193,0,0,0.00716356,0.0119118,0.00359827,0.00759252,0.00753422,0.00770032,0.00263856,0.0167544,0.0144807,0.0267419,0.0273713,0.0103572,0.0234234,0.0117424,0.0109108,0.0245583,0,0.0097452,0
122,0.0185487,0.00725068,0.00806795,0.00575129,0.0132475,0,0.0090219,0.00678013,0.00938682,0.00615394,0.00688791,0.000961526,0,0,0.0100835,0.0189008,0.0213493,0.00923518,0.0241972,0.0206237,0.0211513,0.0178472,0.00809285,0.00424197,0.0047501,0.0109989,0,0.0180617,0.0071941,0.00950275,0.00989913,0,0,0.0072306,0.0120438,0.00331671,0.0074721,0.00765893,0.00787022,0.00246854,0.0160664,0.0149682,0.0272649,0.0284011,0.0107623,0.0243816,0.0122353,0.0112681,0.0253992,0,0.009784,0
123,0.0185068,0.00692539,0.00740333,0.00553134,0.013388,0,0.00896217,0.00653294,0.00938065,0.00626718,0.00669536,0.000865529,0,0,0.00930825,0.0186313,0.0212208,0.00973352,0.023754,0.0201328,0.0207911,0.0173859,0.00808272,0.00436608,0.00475425,0.0110612,0,0.0179275,0.0069034,0.00945451,0.00951735,0,0,0.00740072,0.0121935,0.00304747,0.00723909,0.00778015,0.00797805,0.00230788,0.0155352,0.0153151,0.0277768,0.029295,0.0110433,0.0253766,0.0128703,0.0120634,0.0262479,0,0.00976884,0
124,0.0184559,0.0065081,0.00661309,0.00510397,0.013475,0,0.00883697,0.006261,0.00910716,0.00627923,0.00653479,0.000824798,0,0,0.00840369,0.0180468,0.0207319,0.00991491,0.0229093,0.0192711,0.0201519,0.0167178,0.00787733,0.0045075,0.00481746,0.0111027,0,0.0177498,0.00660607,0.00941863,0.00899882,0,0,0.00761911,0.0123486,0.00286611,0.00689535,0.00797502,0.00806383,0.00218947,0.0151489,0.0156841,0.028263,0.0300741,0.0113183,0.0263117,0.0134981,0.0130124,0.0270008,0,0.0097491,0
125,0.0184168,0.00597321,0.0057952,0.00452481,0.0135032,0,0.00868292,0.00596538,0.00860986,0.0062243,0.00643103,0.000799755,0,0,0.00734028,0.0170914,0.0198809,0.010005,0.0217342,0.0181471,0.0193067,0.0159241,0.00737094,0.00466187,0.00495517,0.0110585,0,0.0175314,0.00630098,0.00940985,0.00835893,0,0,0.00788055,0.012495,0.00288903,0.00645985,0.00821859,0.00811896,0.00213673,0.0148845,0.016125,0.0286694,0.0306947,0.011645,0.0269709,0.0138802,0.0137232,0.0274262,0,0.00972894,0
