Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_HJC,L_HJC_reg,L_Shoulder,L_Sternum,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_HJC,R_HJC_reg,R_Shoulder,R_Sternum,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe
1319,0.0156928,0.01324,0.0093151,0.00830924,0.0200129,0,0.00321527,0.00704747,0.0100867,0.00949094,0.00727486,0.00403267,0,0,0.00978595,0.018231,0.0196083,0.00811611,0.00474692,0.0028809,0.00637025,0.00846599,0.0108435,0.00198486,0.000522802,0.0212083,0,0.00503797,0.00724583,0.00336723,0.00281623,0,0,0.00228154,0.00153699,0.0149667,0.00873799,0.005849,0.00923933,0.009578,0.0155446,0.00968035,0.0225754,0.0238622,0.00632619,0.0140968,0.00366944,0.0109651,0.0119994,0.0142074,0.00798558
1320,0.0152473,0.0131547,0.00930161,0.00897375,0.0199888,0,0.00322363,0.00699149,0.0104286,0.00973458,0.00734696,0.00403361,0,0,0.0101011,0.0184334,0.0198551,0.00824906,0.00518478,0.00272438,0.00701298,0.00874689,0.0114783,0.00199557,0.000560811,0.02116,0,0.00477443,0.00710392,0.00333495,0.00306564,0,0,0.00233654,0.00158841,0.0149746,0.00866758,0.00606224,0.00949635,0.00955176,0.0157723,0.00996804,0.0227761,0.0244123,0.00652847,0.013703,0.00460671,0.0109015,0.012493,0.01454,0.00819269
1321,0.014673,0.0130655,0.00937338,0.00961237,0.020016,0,0.003193,0.00691839,0.0108339,0.00994152,0.00722469,0.00417971,0,0,0.0103044,0.0186984,0.0202426,0.00834097,0.00552857,0.00260989,0.0076348,0.00914219,0.011941,0.00197022,0.000563632,0.0210341,0,0.00452877,0.00695985,0.00341248,0.00327868,0,0,0.00240602,0.00158174,0.0148088,0.00858464,0.00633268,0.00968442,0.00949938,0.0157685,0.0102532,0.0229562,0.0249746,0.00674231,0.0134655,0.00490586,0.0108714,0.0129766,0.0149984,0.00845726
1322,0.0141389,0.0129484,0.00942848,0.0102484,0.0200403,0,0.00298378,0.00677519,0.0112789,0.0101578,0.00703667,0.00434371,0,0,0.010503,0.0190357,0.0207162,0.00838842,0.00587169,0.00248718,0.00826252,0.00956565,0.0122899,0.00196106,0.000560849,0.0208054,0,0.00427637,0.00682387,0.00348988,0.003437,0,0,0.00241351,0.00153269,0.0145495,0.00849473,0.00654056,0.00987319,0.00950812,0.0157167,0.0105158,0.0230748,0.0252129,0.00695118,0.0135994,0.00445765,0.0113957,0.0134635,0.0153466,0.00869009
1323,0.0135653,0.0127497,0.00938285,0.0103813,0.0199866,0,0.00267096,0.00655726,0.0116375,0.0105053,0.00689598,0.00421294,0,0,0.0107379,0.0195005,0.0211496,0.0085606,0.00625297,0.00240824,0.00890599,0.0098835,0.0130306,0.00189362,0.000535625,0.0205244,0,0.00407237,0.00671136,0.00354606,0.0035163,0,0,0.00242808,0.00151026,0.0143706,0.00835465,0.00676055,0.0101268,0.00955905,0.0158524,0.0108454,0.023153,0.0252282,0.00724741,0.0138646,0.00421089,0.0123304,0.0140401,0.0155318,0.00894412
1324,0.0128662,0.0125169,0.00925848,0.0100546,0.0198767,0,0.00244571,0.00634705,0.0118681,0.0109587,0.00677455,0.00391454,0,0,0.0107869,0.0200566,0.0215614,0.00888959,0.00656612,0.00247261,0.00949078,0.0100359,0.0141445,0.00182039,0.000537639,0.0202734,0,0.00393219,0.00658968,0.00365582,0.0035679,0,0,0.00249548,0.00150047,0.0141742,0.00823508,0.00730181,0.0104419,0.00952483,0.0161503,0.0111908,0.0232665,0.0252889,0.00755746,0.0139613,0.00445772,0.0128439,0.0146554,0.0157549,0.00938356
1325,0.0121391,0.0122624,0.00914001,0.00982484,0.0197653,0,0.00230394,0.00615902,0.0120539,0.0114179,0.00664123,0.00389241,0,0,0.0107784,0.0205611,0.0220843,0.00926334,0.00681536,0.00258334,0.010017,0.0101306,0.0152001,0.00181301,0.000536658,0.0200432,0,0.00377169,0.00636035,0.00374253,0.00376518,0,0,0.00258794,0.00150779,0.0138211,0.00818808,0.00819999,0.0107462,0.00936172,0.0164338,0.0113807,0.0233805,0.0254874,0.0076985,0.013928,0.00480794,0.012754,0.0153548,0.0160643,0.00996061
1326,0.0114553,0.0119392,0.00899069,0.00973934,0.0196404,0,0.00204866,0.00589298,0.0122421,0.0119048,0.00654545,0.00414638,0,0,0.0110312,0.0209175,0.0227284,0.00954793,0.0070796,0.00254382,0.0105863,0.0103406,0.0162132,0.00201444,0.000748814,0.0198151,0,0.00364657,0.006097,0.00369364,0.00408395,0,0,0.00281462,0.00174348,0.0134355,0.00817585,0.00907075,0.0109972,0.0092201,0.0166963,0.0114217,0.0234445,0.0256807,0.00774504,0.014025,0.00481201,0.0125349,0.0161901,0.0163475,0.0104736
1327,0.0107414,0.011525,0.00870655,0.00976798,0.0194235,0,0.00170637,0.00561135,0.0124542,0.0123933,0.00644428,0.00434941,0,0,0.0114038,0.021167,0.0233127,0.00962512,0.00744894,0.00241902,0.0111377,0.0106602,0.0170945,0.00212154,0.000863144,0.019594,0,0.00365923,0.00607442,0.00365257,0.00426604,0,0,0.0029217,0.00188671,0.0131232,0.00807036,0.00965341,0.0112481,0.0091663,0.0170362,0.0115191,0.0234897,0.025775,0.00785771,0.0142585,0.00473422,0.0123877,0.016822,0.0165659,0.0108624
1328,0.0100157,0.0108439,0.00833961,0.00993319,0.0189966,0,0.00158755,0.00560667,0.0126638,0.0128914,0.00619114,0.00447823,0,0,0.0116786,0.0214646,0.0236902,0.0094662,0.00804526,0.0024181,0.0116015,0.0109576,0.0176497,0.00215282,0.000955426,0.0193409,0,0.00366781,0.00640209,0.00378791,0.00435746,0,0,0.00294457,0.00194182,0.0124922,0.00774684,0.00997029,0.0115,0.00918318,0.0174111,0.0117701,0.0235308,0.0260274,0.00795199,0.0144447,0.00479066,0.0122729,0.0170155,0.0167482,0.0110657
