Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_HJC,L_HJC_reg,L_Shoulder,L_Sternum,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_HJC,R_HJC_reg,R_Shoulder,R_Sternum,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe,
60,0.017942,0.0107337,0.00906322,0.00581155,0.0103817,0,0.00958122,0.00830878,0.00580807,0.00442398,0.0132777,0.0148316,0,0,0.0192417,0.0208573,0.014855,0.00699341,0.0113509,0.0146265,0.0122623,0.0148421,0.00769164,0.00362155,0.00633541,0.0122971,0,0.0126942,0.00769333,0.00802608,0.00450801,0,0,0.00527104,0.00660452,0.00973549,0.0155599,0.011915,0.00966767,0.00466214,0.0145984,0.0144532,0.0205617,0.0231257,0.00895798,0.0266078,0.020448,0.0231888,0.0196095,0,0.0114449,0
61,0.017685,0.011731,0.00877461,0.00692374,0.0096004,0,0.00968579,0.00837883,0.00592272,0.00337008,0.0133207,0.0149217,0,0,0.0186363,0.0199864,0.0139145,0.00626436,0.0121041,0.0158091,0.0108176,0.014193,0.00813469,0.00356366,0.00631369,0.0126211,0,0.012775,0.00771843,0.00782208,0.00475664,0,0,0.00509093,0.00634842,0.00903975,0.0157841,0.0114728,0.0093826,0.00421462,0.0141647,0.014446,0.0202414,0.0225274,0.00921628,0.0264048,0.0204255,0.0229879,0.019117,0,0.0111509,0
62,0.0174126,0.0126757,0.00859459,0.00782988,0.00883625,0,0.0097805,0.00842413,0.00626571,0.00281469,0.0133863,0.0150037,0,0,0.0182225,0.0192231,0.0132206,0.00552247,0.0128495,0.0169387,0.00932974,0.0137459,0.00844609,0.00353484,0.00630495,0.0130043,0,0.0129113,0.00774043,0.00757982,0.00504746,0,0,0.00489399,0.00604866,0.00832085,0.0160243,0.0110193,0.00911038,0.00378427,0.0137198,0.0144555,0.0199171,0.0218377,0.00954486,0.0262132,0.020402,0.0227778,0.0186707,0,0.0108398,0
63,0.0171613,0.0135204,0.00853557,0.00851685,0.00813548,0,0.00986913,0.00844905,0.00674281,0.0028914,0.0134822,0.0150706,0,0,0.017937,0.0186467,0.012926,0.00471524,0.0134229,0.0177496,0.00805436,0.0135671,0.00865485,0.00352212,0.00630549,0.0134496,0,0.0130979,0.00776515,0.00731172,0.00536154,0,0,0.00469377,0.00572019,0.00759733,0.0162588,0.0105528,0.00884907,0.00335744,0.0132422,0.0144904,0.0195832,0.0211149,0.00991733,0.0260368,0.020374,0.0225587,0.018242,0,0.0105167,0
64,0.0169461,0.014221,0.00858337,0.00903942,0.00753841,0,0.00995017,0.00845807,0.00724801,0.0033556,0.0136101,0.0151137,0,0,0.017694,0.0183349,0.0131092,0.00387294,0.0136319,0.0180567,0.00716583,0.0136446,0.00881328,0.00350997,0.00631059,0.0139493,0,0.0133136,0.00779443,0.00703605,0.00567497,0,0,0.0045094,0.00539117,0.00690379,0.016464,0.0100683,0.00859626,0.00291727,0.0127186,0.0145299,0.0192249,0.020439,0.0102616,0.0258726,0.0203376,0.0223278,0.0178014,0,0.0101908,0
65,0.0167628,0.0147475,0.00870469,0.00948474,0.00707046,0,0.0100196,0.00845496,0.00770388,0.00391135,0.013756,0.0151243,0,0,0.0174287,0.0183418,0.0137422,0.00310565,0.0133658,0.0177856,0.0067172,0.0138608,0.00897597,0.0034895,0.00631715,0.0144839,0,0.0135291,0.00782727,0.00677064,0.00596463,0,0,0.00436235,0.00509529,0.00629209,0.0166183,0.00956325,0.00835691,0.00245145,0.0121478,0.0145268,0.0188164,0.0198747,0.0104756,0.025708,0.0202938,0.0220754,0.0173199,0,0.00987639,0
66,0.0165999,0.0150476,0.00888333,0.0102348,0.00683228,0,0.0100761,0.00844725,0.00827622,0.00444257,0.0138921,0.0150977,0,0,0.0168153,0.0186294,0.0148768,0.00251886,0.0125045,0.0164253,0.00695348,0.0138215,0.00931579,0.00346254,0.00632427,0.0150154,0,0.0137263,0.00786294,0.0065266,0.00621886,0,0,0.0042625,0.00485904,0.00589498,0.0166773,0.00888164,0.00801503,0.00192754,0.011777,0.0140969,0.0182802,0.019213,0.0101335,0.0255801,0.020309,0.0218735,0.0168335,0,0.00950432,0
67,0.0164526,0.0152644,0.00900706,0.0105466,0.00658037,0,0.0101093,0.00843069,0.00840314,0.0047574,0.0139749,0.0150273,0,0,0.0165997,0.0192284,0.01596,0.00279151,0.0117801,0.0153537,0.00749702,0.0138499,0.0095174,0.00343493,0.00632876,0.0155349,0,0.0138652,0.00789859,0.00630031,0.00640104,0,0,0.00423908,0.00469617,0.00558559,0.0166964,0.00844433,0.00792404,0.00143169,0.0110121,0.0140179,0.0177112,0.0189523,0.0100503,0.0252878,0.020199,0.0214326,0.0161322,0,0.00931551,0
68,0.0163279,0.0153171,0.00908806,0.0110497,0.00649118,0,0.0101262,0.00842285,0.00852334,0.00490421,0.0139892,0.014924,0,0,0.0161496,0.0199469,0.0172369,0.00352383,0.0113083,0.0135474,0.00894935,0.0134567,0.00986594,0.00341741,0.00632691,0.0160324,0,0.0139689,0.00794067,0.00608698,0.00651798,0,0,0.00425423,0.0045954,0.00548153,0.0165788,0.00794609,0.00785322,0.000950947,0.0103484,0.0136115,0.0169618,0.0185258,0.00961792,0.0249251,0.0200684,0.0209173,0.0153479,0,0.0091487,0
69,0.0162264,0.0153273,0.00910603,0.0115194,0.0064697,0,0.0101198,0.00841605,0.00853276,0.00487625,0.0139333,0.0147906,0,0,0.0156465,0.0206788,0.0185182,0.0043908,0.0116516,0.0114865,0.0110956,0.0128964,0.0102573,0.00340331,0.00630988,0.0164661,0,0.0140148,0.00799158,0.00586953,0.00653622,0,0,0.00431169,0.00453957,0.00552541,0.0163647,0.00746755,0.00786686,0.000604206,0.00964794,0.0130322,0.0160801,0.0179529,0.0090793,0.0244023,0.0197843,0.0202053,0.0143787,0,0.00901785,0
