Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_HJC,L_HJC_reg,L_Shoulder,L_Sternum,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_HJC,R_HJC_reg,R_Shoulder,R_Sternum,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe,
363,0.0221604,0.00607673,0.00412257,0.0019545,0.0105514,0,0.0159335,0.0126468,0.00262844,0.00268617,0.00355924,0.0123585,0,0,0.00245523,0.00992201,0.00944205,0.00572857,0.00443594,0.00401567,0.00543537,0.00467814,0.00226374,0.00627998,0.00453921,0.00872675,0,0.020836,0.0134315,0.0109792,0.0161318,0,0,0.00570596,0.00465623,0.0126313,0.00317786,0.00448602,0.00557913,0.0106717,0.00915536,0.00262378,0.0080396,0.00737249,0.00369731,0.0100476,0.00588566,0.00977209,0.0080658,0.00952448,0.00522862,0
364,0.0225493,0.00631531,0.0042012,0.002039,0.0109579,0,0.0160873,0.0128371,0.00271505,0.0027533,0.00368699,0.0127278,0,0,0.00249645,0.0101358,0.00981052,0.00575846,0.00428889,0.00406534,0.00550626,0.00486001,0.00230724,0.00645757,0.00461078,0.00921916,0,0.0207597,0.0140254,0.0110777,0.0165016,0,0,0.00591854,0.00477459,0.0128234,0.00344451,0.00457403,0.00573827,0.0105953,0.00938038,0.00261908,0.00858303,0.00805764,0.00370701,0.00982133,0.00567992,0.00952584,0.00795058,0.00925622,0.00544081,0
365,0.0229145,0.00652758,0.00437041,0.00212162,0.0114831,0,0.0160999,0.0128997,0.00289993,0.00286837,0.00369751,0.0128002,0,0,0.00264717,0.0104166,0.0101461,0.00588474,0.00422133,0.00400198,0.00547279,0.0049717,0.00235236,0.00668753,0.00475143,0.00977883,0,0.0207309,0.0142418,0.0111797,0.0166814,0,0,0.00599118,0.00484399,0.0129957,0.0035893,0.00460511,0.00586948,0.0104798,0.00953551,0.00253038,0.00906317,0.00877977,0.00364337,0.00985746,0.00540246,0.00932632,0.00787209,0.00913059,0.00567886,0
366,0.0232963,0.00653265,0.00463726,0.00220426,0.0121017,0,0.0160064,0.0128621,0.00312468,0.00299132,0.00369388,0.0125547,0,0,0.00291914,0.0108592,0.0104837,0.00611375,0.00422631,0.00395162,0.00540937,0.00493882,0.00241559,0.00678885,0.0048169,0.0102898,0,0.0210833,0.0137701,0.0112819,0.0168112,0,0,0.0060383,0.00489921,0.0132165,0.00357219,0.004612,0.00593916,0.0103253,0.00955386,0.00237735,0.00943392,0.00920545,0.00337876,0.00974957,0.00519572,0.00920687,0.00779909,0.00910625,0.00578294,0
367,0.0237414,0.00659079,0.00494792,0.00230065,0.0126546,0,0.016053,0.0130986,0.00328485,0.00307831,0.00381751,0.0124967,0,0,0.00317133,0.0113975,0.0108668,0.00634101,0.00421335,0.00390274,0.00539742,0.00482597,0.0024903,0.00682936,0.00481247,0.0106635,0,0.0215176,0.0133464,0.011405,0.0171064,0,0,0.0061927,0.00500315,0.0133369,0.00362514,0.00461036,0.00599894,0.0101721,0.00953448,0.00231861,0.009777,0.00939447,0.00310382,0.00968644,0.00470548,0.00913932,0.00766329,0.00908246,0.00585157,0
368,0.024224,0.00715614,0.0053734,0.00242088,0.0131049,0,0.0161937,0.0135405,0.00339223,0.00315847,0.0040259,0.0127641,0,0,0.00329361,0.0118818,0.0112964,0.00653249,0.00424166,0.00374583,0.00532649,0.00482076,0.00257488,0.00694328,0.00483025,0.0110742,0,0.0216594,0.0133436,0.0115527,0.017426,0,0,0.00635869,0.00511945,0.0132752,0.00377012,0.00468161,0.00607833,0.010066,0.00961544,0.00240217,0.0102079,0.00965196,0.00304982,0.0100318,0.0041974,0.00914217,0.00748374,0.0090644,0.00596506,0
369,0.0247096,0.00801243,0.00585106,0.00256707,0.0135833,0,0.0162445,0.0134623,0.0035491,0.00325544,0.00415257,0.0129614,0,0,0.00340442,0.0122752,0.0117354,0.00672913,0.00438796,0.00355813,0.00513124,0.00491891,0.00266663,0.00707919,0.00487937,0.0116557,0,0.0217305,0.0134714,0.0116657,0.0175897,0,0,0.00644674,0.00518908,0.0132397,0.00391185,0.00483328,0.0061722,0.0100167,0.00987223,0.00254764,0.0107402,0.0101029,0.0031833,0.0104134,0.00414443,0.0091864,0.00733816,0.00903645,0.0060956,0
370,0.0252054,0.00837435,0.00622824,0.00273449,0.0142135,0,0.0162551,0.0128452,0.00375185,0.00332046,0.00417192,0.0128965,0,0,0.00369296,0.0126904,0.0121671,0.00693173,0.00436002,0.00341962,0.00494286,0.00486492,0.00274436,0.00717781,0.00494235,0.0122792,0,0.0219824,0.0135405,0.0116937,0.0176976,0,0,0.00652877,0.00522492,0.0134961,0.00407571,0.00497255,0.00629138,0.0100117,0.0101568,0.00271261,0.0112775,0.0106683,0.00331098,0.0102492,0.00421987,0.00915504,0.00729319,0.00904779,0.00624288,0
371,0.0257171,0.00814893,0.00648998,0.00289353,0.0149359,0,0.0162754,0.0125189,0.00390116,0.00333998,0.00423616,0.0128006,0,0,0.00410675,0.013183,0.0125861,0.00711832,0.00417026,0.00334022,0.00490455,0.00468229,0.00280677,0.00728063,0.00501176,0.01284,0,0.0221898,0.0135241,0.0117062,0.0178013,0,0,0.00661258,0.00524629,0.0140404,0.00427173,0.00506656,0.00642992,0.0100463,0.0102913,0.00289102,0.0117387,0.0112406,0.00337427,0.00983418,0.00399356,0.00916971,0.00735401,0.00920162,0.00640665,0
372,0.0262622,0.0080942,0.00682996,0.00300441,0.0155038,0,0.0162272,0.0126488,0.00398252,0.00339094,0.0044003,0.0128433,0,0,0.00439126,0.0135903,0.0129348,0.0072964,0.00410048,0.00340392,0.00500804,0.00472569,0.00288948,0.00740557,0.00506278,0.0133974,0,0.0221825,0.0134207,0.011819,0.0177951,0,0,0.00661372,0.00522491,0.0145338,0.00449971,0.00515415,0.00655751,0.010084,0.0104164,0.0030345,0.0121574,0.0117708,0.00347413,0.00983303,0.00392305,0.00946031,0.00736483,0.00936767,0.00655105,0
