Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_HJC,L_HJC_reg,L_Shoulder,L_Sternum,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_mankle,L_mknee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_HJC,R_HJC_reg,R_Shoulder,R_Sternum,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_mankle,r_mknee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe
450,0.0154745,0.0054835,0.0080695,0.00188732,0.0124937,0,0.0081948,0.00521942,0.00533028,0.00428778,0.00790903,0.00694069,0,0,0.0208493,0.0119887,0.0100354,0.0228205,0.0146039,0.0195575,0.0255135,0.0340442,0.0216592,0.0178542,0.00285675,0.00327435,0.00587302,0.0104703,0,0.0146223,0.00632727,0.00834209,0.0104105,0,0,0.00624903,0.00813686,0.00567753,0.00636369,0.00338294,0.00598287,0.0064503,0.0268806,0.0183981,0.0161401,0.0136179,0.0228322,0.0147412,0.0198965,0.0201922,0.0280631,0.02344,0.0192211,0.0137139,0.00327888
451,0.0154458,0.0054679,0.00804836,0.00189631,0.0125169,0,0.00820574,0.00514624,0.00537218,0.00428869,0.00797264,0.00692253,0,0,0.0208439,0.0120048,0.0100363,0.0228156,0.0145974,0.0195358,0.0255811,0.0340936,0.0216839,0.0178452,0.00286309,0.00326545,0.00588736,0.0104711,0,0.0146063,0.00627633,0.00832464,0.0103848,0,0,0.00632098,0.00827645,0.00567585,0.00634888,0.00337014,0.00594544,0.00647891,0.0269258,0.0183881,0.0161454,0.0135497,0.0228083,0.0147544,0.0198833,0.0200872,0.0280024,0.0233604,0.0191457,0.0137247,0.00326286
452,0.0153808,0.00541604,0.00804763,0.00191266,0.0124784,0,0.00823676,0.00515484,0.00544502,0.00426354,0.00797846,0.0069517,0,0,0.0208415,0.0119985,0.0100395,0.0228215,0.0146245,0.019532,0.0256378,0.0341006,0.0216892,0.0177862,0.0028554,0.00332415,0.00589087,0.0104763,0,0.0146487,0.00625788,0.00828948,0.0103961,0,0,0.00632231,0.008356,0.00559445,0.00636109,0.00336235,0.00589869,0.00650754,0.0269482,0.018367,0.0161604,0.0135366,0.0227564,0.0147584,0.0198924,0.0199787,0.0279813,0.0233847,0.0191429,0.0137361,0.00321187
453,0.0153223,0.00538009,0.00805528,0.00192329,0.0124337,0,0.00827995,0.00522567,0.00546334,0.00424684,0.0079774,0.00698087,0,0,0.0208295,0.011994,0.0100421,0.0228334,0.0146336,0.0195283,0.0256455,0.0340566,0.0216713,0.0176977,0.00285066,0.00337002,0.00589811,0.01048,0,0.0146659,0.00624291,0.00825226,0.0104103,0,0,0.0062725,0.00839442,0.00552871,0.00638367,0.00334513,0.0058886,0.00651865,0.026945,0.018348,0.0161825,0.0135365,0.0227206,0.0147495,0.0198639,0.0199286,0.0278986,0.0234377,0.0191567,0.0137226,0.00319628
454,0.0154063,0.00547629,0.00799597,0.00189513,0.012498,0,0.00822774,0.00515983,0.00543858,0.00429547,0.00806575,0.00689339,0,0,0.0208077,0.01203,0.0100357,0.0228116,0.0145839,0.0194951,0.0256125,0.0340422,0.0215859,0.0176204,0.00287284,0.00328146,0.00593594,0.0105116,0,0.014551,0.00618012,0.00836692,0.0103443,0,0,0.00632611,0.00833106,0.0056094,0.00634813,0.00335022,0.00590369,0.00653336,0.0269388,0.0183439,0.0161663,0.0134936,0.0227365,0.0147218,0.0197806,0.0198436,0.0277555,0.0233532,0.0190918,0.0137087,0.00318823
455,0.0154073,0.00547168,0.00796436,0.00189471,0.0125083,0,0.00822115,0.0050913,0.00540814,0.00429133,0.00812007,0.00690449,0,0,0.0208049,0.0120267,0.0100368,0.0228157,0.014566,0.0195351,0.0256013,0.0340742,0.0215637,0.0176091,0.0028747,0.00325432,0.00592096,0.0105046,0,0.0145104,0.00612656,0.00839856,0.0103201,0,0,0.00633142,0.00836311,0.00559914,0.00633021,0.0033205,0.00589971,0.00653359,0.026905,0.0183234,0.0161701,0.0134406,0.0227547,0.0146993,0.0197272,0.0198488,0.0277419,0.0232499,0.0191114,0.0137585,0.00317727
456,0.0153718,0.00541889,0.00796642,0.00187355,0.0124767,0,0.00825114,0.00505688,0.00538677,0.00428353,0.00809789,0.00694734,0,0,0.0207938,0.0120261,0.0100488,0.0228224,0.0145596,0.0195926,0.0256155,0.0340962,0.0216107,0.0176288,0.00286285,0.00323935,0.00591081,0.0104949,0,0.0145426,0.00606948,0.00839686,0.0103117,0,0,0.00624848,0.00837313,0.0055395,0.00634625,0.00329349,0.00590288,0.00649822,0.0268812,0.0183168,0.0161743,0.0134148,0.0227082,0.0146968,0.0197129,0.0199192,0.027842,0.0232163,0.0191281,0.0138067,0.00317205
457,0.0153292,0.00538278,0.00798694,0.00187766,0.0124561,0,0.00831718,0.00507835,0.0053597,0.00425356,0.00806278,0.0069764,0,0,0.0207866,0.0120284,0.0100459,0.0228315,0.0145627,0.0195938,0.0256146,0.0340908,0.0216486,0.0176398,0.00286635,0.00321689,0.00589587,0.0104762,0,0.0145843,0.00602959,0.00837447,0.0103251,0,0,0.00620511,0.00836495,0.00549588,0.00636632,0.00328027,0.00593957,0.00645885,0.0269033,0.0183228,0.0161833,0.0134327,0.0226553,0.0147032,0.0197047,0.0199762,0.0279158,0.0232432,0.0191153,0.0138405,0.00317041
458,0.0153916,0.00551795,0.00793372,0.00187172,0.0125049,0,0.00833677,0.0050555,0.00534245,0.00425028,0.00812468,0.00692124,0,0,0.0207948,0.0120149,0.0100178,0.0228091,0.0145788,0.0195727,0.0255799,0.0340868,0.0215832,0.0175958,0.00284079,0.00318882,0.00585424,0.0104433,0,0.0145162,0.00606454,0.00849692,0.0103148,0,0,0.00631207,0.00816759,0.00562199,0.00630007,0.00329633,0.00594423,0.00648403,0.0269707,0.0183034,0.0162137,0.0134789,0.022665,0.0147219,0.0196918,0.0198971,0.0278775,0.0232037,0.0190418,0.0138546,0.00317677
459,0.0153875,0.00553163,0.00794706,0.00189707,0.0125148,0,0.00834895,0.00504679,0.00535158,0.00425697,0.00813209,0.00689395,0,0,0.0207845,0.0119956,0.00999049,0.0227983,0.0146187,0.0195912,0.0255571,0.0340699,0.0215915,0.0176139,0.00284229,0.00321103,0.00587778,0.0104168,0,0.0145328,0.00612052,0.00851562,0.0103195,0,0,0.00630714,0.00813597,0.00564421,0.00627986,0.00331106,0.00592269,0.00654053,0.0270094,0.0183218,0.0162278,0.0135002,0.0227016,0.0147241,0.0196874,0.0198445,0.0277977,0.0231419,0.0190392,0.0138924,0.00316776
