Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_HJC,L_HJC_reg,L_Shoulder,L_Sternum,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_HJC,R_HJC_reg,R_Shoulder,R_Sternum,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe,
99,0.011886,0.0159817,0.0184421,0.00616547,0.0122156,0,0.024148,0.00896281,0.00677053,0.0102041,0.00463621,0.00372039,0,0,0.0133414,0.00953308,0.00693614,0.0123993,0.0311378,0.0259325,0.0293238,0.0201388,0.00273353,0.00193956,0.00604782,0.0103842,0,0.0206834,0.0066148,0.0123125,0.0125977,0,0,0.00227171,0.00273584,0.00941624,0.0164156,0.00285079,0.00253156,0.00184006,0.00452346,0.00601731,0.00489423,0.0049239,0.00588445,0.0109676,0.0119879,0.0123945,0.0132191,0.0113407,0.0021722,0
100,0.0118788,0.0159835,0.0190867,0.00607317,0.0123682,0,0.0241383,0.00913252,0.00692847,0.0103032,0.00440841,0.00352661,0,0,0.013606,0.0100813,0.00728407,0.0128683,0.0321702,0.0267449,0.0299394,0.0205179,0.00264551,0.0016539,0.00587915,0.010493,0,0.0208525,0.00678562,0.0125559,0.0129105,0,0,0.00244463,0.00290111,0.00976766,0.0165412,0.00224039,0.00244521,0.00190686,0.00435706,0.0065606,0.00461305,0.00436985,0.00594638,0.0101099,0.0105245,0.0101155,0.0115069,0.00903025,0.00192796,0
101,0.0118665,0.0159133,0.0197116,0.00591695,0.0125264,0,0.0241067,0.00930565,0.0070712,0.0103593,0.00418021,0.00337788,0,0,0.0138046,0.0106049,0.00763565,0.0132478,0.0333107,0.0276576,0.030654,0.0209191,0.00253712,0.00141558,0.00571052,0.010578,0,0.0209879,0.00694267,0.012749,0.0131504,0,0,0.00259613,0.00302909,0.0101794,0.0166351,0.00192578,0.00234438,0.00214332,0.00489595,0.00700304,0.00514407,0.00433598,0.00586474,0.00904338,0.00874986,0.0075491,0.00961472,0.00649637,0.00204943,0
102,0.0118786,0.0157316,0.0202702,0.00572177,0.0127049,0,0.024042,0.00947638,0.00718949,0.0103805,0.00396864,0.00322013,0,0,0.0139337,0.0110628,0.0080026,0.013552,0.0345226,0.0286498,0.0314858,0.0213611,0.00243047,0.00122955,0.00552463,0.0106977,0,0.0210822,0.00707458,0.0128953,0.0133208,0,0,0.00271577,0.00311923,0.0104563,0.0167561,0.00187683,0.0023754,0.00246594,0.00633567,0.00729086,0.0064067,0.00488071,0.00579981,0.00778486,0.00684512,0.00474853,0.00762353,0.00403391,0.00223453,0
103,0.0119367,0.0154677,0.0207459,0.00551541,0.0129376,0,0.0239373,0.00962969,0.00726225,0.0103572,0.00377971,0.00301428,0,0,0.0140006,0.0114158,0.00836462,0.0137794,0.0357351,0.0296705,0.0324127,0.0218529,0.00234096,0.0011043,0.00530744,0.0109092,0,0.0211308,0.00716556,0.0129944,0.0134248,0,0,0.00278967,0.00317326,0.0104699,0.0169679,0.00198823,0.00268458,0.00284989,0.00818028,0.00766561,0.00798242,0.00576873,0.00622433,0.0067257,0.00580549,0.00195126,0.00568629,0.00290631,0.00225596,0
104,0.0120081,0.0151778,0.0211326,0.00532464,0.0132082,0,0.0238076,0.00975697,0.00728165,0.0102958,0.00359842,0.00277475,0,0,0.0140484,0.0116449,0.00869118,0.0139299,0.0368499,0.0306593,0.0333625,0.022391,0.0022724,0.00104942,0.00504366,0.0111662,0,0.0211535,0.00721507,0.0130619,0.0134829,0,0,0.00281599,0.00320721,0.0102949,0.0172573,0.00238233,0.00323943,0.00337448,0.00981987,0.00838473,0.00954798,0.00686187,0.0073038,0.00671943,0.00723302,0.00205696,0.00434232,0.00464349,0.00214518,0
105,0.0120309,0.0149325,0.0214382,0.00517179,0.0134663,0,0.0236826,0.00985594,0.00724214,0.0102057,0.00339649,0.00256512,0,0,0.0141258,0.0117443,0.00893912,0.0140019,0.03777,0.031552,0.0342303,0.0229459,0.00221775,0.00106786,0.00472812,0.011368,0,0.0211843,0.00723634,0.0131258,0.0135277,0,0,0.00280466,0.00324541,0.010152,0.0175495,0.0030006,0.00376579,0.00389265,0.0109295,0.0093835,0.0109124,0.00809227,0.00865039,0.00810055,0.010316,0.00429155,0.00428945,0.00698689,0.0020628,0
106,0.0119654,0.0147713,0.021686,0.00507285,0.0136598,0,0.023592,0.00992355,0.00714489,0.0101036,0.0031512,0.00246824,0,0,0.0142607,0.0117076,0.0090701,0.013989,0.0384395,0.0322994,0.0349151,0.0234597,0.00216404,0.00114146,0.00437441,0.0114325,0,0.0212502,0.00724529,0.0132115,0.0135888,0,0,0.00277116,0.00330766,0.0102571,0.0177561,0.00354202,0.0039683,0.00411553,0.0113945,0.010333,0.0118633,0.00923717,0.00975297,0.0101535,0.0133669,0.00564748,0.00508439,0.00854817,0.00210133,0
107,0.0118232,0.0146859,0.0219078,0.00503613,0.01375,0,0.0235581,0.0099513,0.00698762,0.00999991,0.00286326,0.00254623,0,0,0.014445,0.0115286,0.00905785,0.0138799,0.0388496,0.0328644,0.0353438,0.0238577,0.00210535,0.00122873,0.00400916,0.0113394,0,0.0213586,0.0072526,0.0133311,0.0136841,0,0,0.00273342,0.00340218,0.0107308,0.0178162,0.00378756,0.00373537,0.00399291,0.0112534,0.0109189,0.0122267,0.0099992,0.0103191,0.01214,0.0155519,0.00580113,0.00578229,0.00893227,0.00220477,0
108,0.0116678,0.0146214,0.022129,0.00506283,0.0137149,0,0.0235927,0.00992322,0.00676696,0.00989785,0.00256398,0.0028035,0,0,0.0146427,0.0112059,0.00890292,0.0136592,0.0390289,0.0332204,0.0354808,0.0240702,0.00205513,0.00127955,0.003658,0.0111208,0,0.0214953,0.00725856,0.0134768,0.0138141,0,0,0.00270601,0.00352254,0.0115458,0.0177107,0.00371021,0.00317478,0.0038517,0.0106435,0.0110028,0.0119756,0.0101734,0.010339,0.0137116,0.0167143,0.00511407,0.00600075,0.00826797,0.00231205,0
