Timestep,C7,LARM,LASI,LELB,LFOREARM,LHEEL,LLEPI,LLMAL,LMFL,LMFS,LP1MT,LP5MT,LPAT,LSH,LTHAD,LTHAP,LTHLD,LTHLP,LTIAD,LTIAP,LTILAT,LTOE,LWR,MAN,P1,P2,P3,RARM,RASI,RELB,RFOREARM,RHEEL,RLEPI,RLMAL,RMFL,RMFS,RP1MT,RP5MT,RPAT,RSH,RTHAD,RTHAP,RTHLD,RTHLP,RTIAD,RTIAP,RTILAT,RTOE,RWR,SACR,T7,x52,x53,
193,0.00683831,0.00767646,0.00793271,0.00782503,0.0115384,0.0162525,0.00923123,0.00386812,0.00702882,0.0101165,0.00155279,0.00216466,0,0.00693361,0.00513404,0.0117735,0.0125445,0.0154918,0.0078051,0.00917859,0.00528634,0.00477403,0.00674141,0.00825,0,0,0,0.0109189,0.00644747,0.0024164,0.00909419,0.0125433,0.0261557,0.0109658,0.0193939,0.0122176,0.0312224,0.0360127,0,0.00426066,0.00795977,0.0101987,0.0163389,0.014342,0.00780711,0.0109144,0.0179027,0.0279424,0.00909322,0.00846071,0.00319573,0,0,0
194,0.00628183,0.00827013,0.00778272,0.00689427,0.011296,0.0175256,0.00955291,0.00466765,0.00746628,0.00842101,0.00347257,0.00172162,0,0.00656718,0.00439893,0.0106574,0.0130861,0.0159962,0.00774547,0.00824905,0.00606863,0.00372099,0.00674881,0.0082129,0,0,0,0.0110475,0.00695171,0.00217391,0.00896632,0.011849,0.0265869,0.0115867,0.0197708,0.0115435,0.0306387,0.0362547,0,0.00430957,0.0101082,0.0110074,0.0176023,0.0159288,0.00753201,0.0113141,0.0182498,0.026592,0.00891219,0.00901836,0.00374327,0,0,0
195,0.00576056,0.008325,0.00763558,0.00594976,0.0101453,0.0188161,0.0105499,0.00513876,0.00726709,0.00934918,0.00367064,0.00237264,0,0.00614828,0.00342111,0.0099732,0.0145373,0.0166271,0.00689889,0.00762573,0.00657656,0.0033594,0.00620712,0.00786018,0,0,0,0.0111442,0.00716948,0.00197281,0.00860957,0.0114682,0.0266762,0.0121216,0.0193587,0.0107217,0.0292237,0.0352254,0,0.00424732,0.0118726,0.0122423,0.0187016,0.0171825,0.00719414,0.0120874,0.0180231,0.0242281,0.00858644,0.0092829,0.00432767,0,0,0
196,0.00483069,0.00634369,0.00841597,0.00537082,0.00252018,0.0196188,0.0121927,0.00526611,0.00649261,0.0125541,0.00195915,0.00389624,0,0.00512962,0.00308032,0.00951766,0.0157231,0.0171525,0.00567635,0.00745252,0.00662271,0.00359668,0.00284915,0.00749949,0,0,0,0.00905424,0.00886268,0.00265976,0.00784451,0.0116202,0.0260147,0.0126285,0.0179759,0.00962424,0.0266426,0.0328115,0,0.00370373,0.0126662,0.0137513,0.0193447,0.0187633,0.00715962,0.012392,0.0171318,0.021346,0.00798423,0.00983375,0.00489388,0,0,0
197,0.00524566,0.0078618,0.00764666,0.00367124,0.00533342,0.0200086,0.0132692,0.0060255,0.00674338,0.014063,0.00145106,0.00430361,0,0.00582269,0.00399712,0.0100356,0.0159758,0.0180363,0.00459927,0.00716764,0.00677291,0.00486273,0.00394597,0.0071996,0,0,0,0.0105437,0.0106444,0.001603,0.00905712,0.0163075,0.0253151,0.0164885,0.0195695,0.0102359,0.0257608,0.0323823,0,0.00423891,0.0108855,0.0136565,0.0190036,0.0186285,0.00518679,0.00999296,0.0140122,0.0201933,0.00796783,0.00831184,0.00556786,0,0,0
198,0.00513855,0.00837622,0.00734928,0.00240913,0.00566111,0.0193549,0.0141756,0.00725362,0.00783576,0.0135726,0.00315354,0.00313866,0,0.00561001,0.00443674,0.00967254,0.0157211,0.0178876,0.00330951,0.00674034,0.0066165,0.00587157,0.0042622,0.00670654,0,0,0,0.0100388,0.0107338,0.00163711,0.0086528,0.0210755,0.0244759,0.0189172,0.0208515,0.0106272,0.0250354,0.0312854,0,0.0037194,0.00842105,0.0126328,0.0187235,0.0191235,0.00549389,0.00814571,0.011527,0.0192628,0.00768276,0.00805712,0.00571203,0,0,0
199,0.00505254,0.00996286,0.00669896,0.00230475,0.0087618,0.0194358,0.0149714,0.00875734,0.00835417,0.0132943,0.00373712,0.00258354,0,0.00534912,0.00500135,0.00940126,0.0153892,0.0175638,0.00217216,0.00629416,0.00595735,0.0057551,0.00653685,0.00641208,0,0,0,0.00976106,0.0100173,0.00207789,0.00713946,0.0254568,0.0230929,0.0211537,0.0223974,0.01148,0.0250453,0.030539,0,0.00274754,0.00578327,0.0109392,0.017593,0.0195004,0.00702951,0.00661021,0.00943397,0.0192149,0.00734531,0.00812609,0.00562696,0,0,0
200,0.00532013,0.00864659,0.00623922,0.00123492,0.00434474,0.0198792,0.0159906,0.00957029,0.00859497,0.0127585,0.00401089,0.00237013,0,0.00469646,0.00567178,0.00967683,0.0154102,0.0182232,0.00186407,0.00698059,0.00629573,0.00645568,0.00446245,0.00562374,0,0,0,0.00888808,0.00829333,0.00189183,0.00818293,0.0301056,0.0222214,0.0237956,0.0245749,0.0128227,0.0264154,0.0305147,0,0.00231798,0.00569954,0.00788176,0.0161498,0.0188471,0.0088596,0.00531604,0.00785261,0.0202627,0.00706362,0.00796508,0.0057519,0,0,0
201,0.00566572,0.00993888,0.00587867,0.0028802,0.00745198,0.020919,0.0168014,0.0109887,0.00877918,0.0128229,0.00365762,0.0019392,0,0.00479467,0.00680529,0.009407,0.0150439,0.0186,0.00100312,0.00734125,0.00631275,0.00619606,0.00709141,0.00568162,0,0,0,0.0082724,0.00842418,0.00238444,0.00684885,0.030997,0.0204285,0.0250791,0.025922,0.0139089,0.0272942,0.0292729,0,0.00157783,0.00816265,0.00546216,0.0146249,0.017845,0.0099577,0.00430603,0.00694884,0.021789,0.00654457,0.00788408,0.00602071,0,0,0
202,0.00629585,0.00939205,0.00595443,0.00339187,0.00689848,0.0212715,0.0178382,0.0120456,0.00902085,0.0119819,0.00322918,0.00118848,0,0.00503777,0.0078561,0.00969515,0.0149924,0.0192661,0.00141013,0.0085046,0.00679395,0.00663278,0.00740406,0.00530744,0,0,0,0.00715536,0.0081658,0.00236833,0.00659467,0.0288298,0.0191592,0.0247999,0.0247276,0.0147139,0.0279362,0,0,0.00166539,0.0112976,0.00586672,0.0134586,0.0165557,0.00927346,0.00412711,0.00744026,0.0232986,0.00593717,0.00812111,0.00671768,0,0,0
203,0.00701718,0.00824697,0.00691973,0.00449684,0.0060233,0.0217066,0.0187117,0.0133128,0.0100855,0.0115219,0.00317939,0.00119319,0,0.00481252,0.00887667,0.00999174,0.0150138,0.0198986,0.00267974,0.00984983,0.00764426,0.00693111,0.0079719,0.00577425,0,0,0,0.00644256,0.00849086,0.00281142,0.00634034,0.0219238,0.018701,0.0214311,0.0193099,0.0142744,0.0266843,0.0221496,0,0.00245287,0.0120812,0.00875173,0.013084,0.0161162,0.00634428,0.00573518,0.00951415,0.0232058,0.00514123,0.00852201,0.00752644,0,0,0
204,0.00788605,0.0031,0.00818369,0.00614688,0.0127456,0.022062,0.0194344,0.0143353,0.0118726,0.0112678,0.00398147,0.001747,0,0.00364904,0.00995437,0.0108146,0.0151925,0.0209645,0.00410731,0.0121554,0.00894546,0.00753176,0.00844648,0.00567689,0,0,0,0.0051365,0.00845449,0.00415014,0.00897125,0.0180526,0.0189849,0.0165614,0,0.0148083,0.0246005,0.0210333,0,0.00247344,0.0102091,0.0110966,0.0128318,0.0164257,0.00347182,0.0081721,0.0132225,0.024129,0.00514238,0.00919302,0.00870247,0,0,0
205,0.00818733,0.00210967,0.00772631,0.00725241,0.0126511,0.0226553,0.0199911,0.0154641,0.0117213,0.0109973,0.00442851,0.00233244,0,0.00310646,0.0112473,0.0110556,0.01532,0.0216101,0.005342,0.0137415,0.0105564,0.00749694,0.00851519,0.00622302,0,0,0,0.00475766,0.00852618,0.00466394,0.00833607,0,0.0171352,0.0160134,0,0.0178815,0.0251316,0,0,0.00325899,0.00635717,0.0105796,0.0108231,0.0166346,0.00730541,0.00777308,0.0149285,0.030716,0.00444851,0.0103711,0.0094328,0,0,0
206,0.00949932,0.00393427,0.0103913,0.00677196,0.00606102,0.0242691,0.0216198,0.0175043,0.0117061,0.00801791,0.00469161,0.00362244,0,0.00370819,0.0118655,0.0116223,0.0151276,0.0210319,0.00582805,0.0142496,0.0114796,0.00606001,0.00703983,0.00857195,0,0,0,0.00337337,0.00940417,0.00360968,0.00515142,0.0185359,0.0191697,0.0102902,0.00730718,0.0189894,0.0218984,0.0259394,0,0.0043557,0.00722272,0.0103801,0.0120574,0.0173851,0.00606422,0.00762459,0.0173756,0.0300669,0.00309237,0.0124612,0.0112263,0,0,0
207,0.00984382,0.00420219,0.010312,0.00681431,0.00504085,0.0258631,0.0219836,0.0195179,0.01284,0.00410779,0.00514966,0.00508065,0,0.00400969,0.0128281,0.0117453,0.015249,0.0213386,0.00725782,0.0147223,0.0126254,0.00448008,0.00734876,0.00932524,0,0,0,0.00224958,0.00940545,0.00364167,0.00454501,0.0171227,0.0188366,0.008062,0.00774078,0.022,0,0.0232004,0,0.00518303,0.00755992,0.00833317,0.0119886,0.0174818,0.00883552,0.00600202,0.0177624,0.0329091,0.00246383,0.0151186,0.0121988,0,0,0
208,0.0100827,0.00438156,0.00982611,0.00543846,0.00935105,0.0260567,0.02243,0.0205183,0.0131325,0.00443688,0.00576096,0.00537715,0,0.00385944,0.0132799,0.0116426,0.0154755,0.0220639,0.00837522,0.0153034,0.0133358,0.0045154,0.00875106,0.00974043,0,0,0,0.00276733,0.00964531,0.00426641,0.0040398,0.0159511,0.0146917,0.0103289,0.0100672,0,0,0,0,0.00583228,0.00736663,0.00508751,0.0110925,0.0178615,0.0120752,0.00684029,0.0166146,0,0.00252254,0.0192123,0.0130949,0,0,0
209,0.009712,0.00598289,0.0101757,0.00594437,0.0098487,0.0261085,0.0227796,0.0211762,0.0129041,0.00992425,0.00746238,0.00564411,0,0.00466945,0.0146402,0.0128649,0.0161549,0.0211685,0.00941688,0.0168555,0.0144543,0.00598829,0.00895348,0.0103918,0,0,0,0.00345666,0.00872293,0.0047011,0.0045666,0.0174487,0.0161479,0.00931932,0.00515559,0.0183737,0.0118869,0.0256369,0,0.00672409,0.00545381,0.0037552,0.0130634,0.018321,0.00863772,0.00691595,0.0135764,0.0253228,0.00259629,0.0218566,0.0129604,0,0,0
210,0.00923446,0.010392,0.0104386,0.00737083,0.0142711,0.025488,0.0230996,0.0214355,0.0121806,0.0132099,0.00802406,0.00576657,0,0.00521304,0.0156072,0.0136954,0.0163189,0.0208808,0.00979217,0.0175325,0.0149077,0.00644498,0.00996662,0.0102322,0,0,0,0.0048761,0.00796253,0.00566554,0.00422616,0.0183657,0.0137657,0.0103742,0.00491739,0.0187115,0.0110427,0.0261456,0,0.00687348,0.00635742,0.00256758,0.0138646,0.0193434,0.00550686,0.00583435,0.00985748,0.0246913,0.00277614,0.0245778,0.0125589,0,0,0
211,0.0083719,0.0112903,0.0110815,0.00675943,0.0133662,0.0249093,0.0235208,0.0214988,0.0109844,0.0130909,0.00758874,0.00634538,0,0.00564417,0.0160983,0.0144075,0.015855,0.020289,0.00921481,0.0179188,0.0149108,0.00621909,0.0114697,0.00988154,0,0,0,0.00532877,0.00758611,0.00581471,0.00617072,0.0189617,0.0110392,0.0131609,0.00489094,0.0208145,0.0125581,0.0225047,0,0.00737403,0.00882434,0.00342867,0.0141512,0.0203726,0.00410437,0.00262769,0.0087349,0,0.00356228,0.0263204,0.0115638,0,0,0
212,0.00716071,0.0137731,0.0123259,0.00791339,0.0171902,0.0238786,0.0241029,0.0208758,0.00983042,0.0127949,0.0070242,0.00681226,0,0.00587247,0.0161631,0.0152957,0.0149399,0.0188497,0.00969378,0.0173385,0.0145244,0.00636537,0.014493,0.0090315,0,0,0,0.00631572,0.00736509,0.00628061,0.00455524,0.0199773,0.00901003,0.0132837,0.00909638,0,0.0165127,0.0180892,0,0.00655044,0.0112241,0.00523214,0.0138127,0.0203135,0.00527815,0.000252319,0.00830941,0,0.00330844,0.0270256,0.0104419,0,0,0
213,0.00604142,0.014847,0.0140908,0.00863752,0.0197932,0.0217828,0.02525,0.0190959,0.00894223,0.0119203,0.00691391,0.00699932,0,0.00583665,0.0156986,0.0160177,0.0142278,0.0177305,0.0183073,0.0156514,0.0132291,0.00613729,0.0168707,0.00810564,0,0,0,0.00659029,0.00742943,0.00593882,0.00490789,0.0199561,0.00723326,0.00843988,0,0,0,0,0,0.00615219,0.0127077,0.00647889,0.013834,0.0201724,0.00670157,0.00241617,0.00699826,0,0.00324747,0.026302,0.00938765,0,0,0
214,0.00609422,0.0156291,0.0148962,0.00793953,0.0195836,0.0188768,0.0275986,0.0160424,0.00862514,0.00899291,0.00754783,0.00774538,0,0.00695092,0.0154614,0.0168005,0.0152215,0.0181633,0.0386547,0.0174758,0.0110727,0.00562422,0.0152218,0.00773005,0,0,0,0.00676844,0.00665972,0.00600744,0.00542832,0.0224246,0.00896598,0.00730425,0.00864483,0.017453,0,0,0,0.00690242,0.0124914,0.00945134,0.0150388,0.0204352,0.00623014,0.00188715,0.00814891,0.0209145,0.00331362,0.0236372,0.00940795,0,0,0
